timestamp,ttl,ip,hostname,asn
1683453472,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683453472,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683453472,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683453472,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683453472,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683453472,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683453472,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683453472,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683453472,9,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683453472,10,62.115.127.91,ffm-bb2-link.ip.twelve99.net,1299
1683453472,11,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683453472,12,62.115.123.221,mad-b3-link.ip.twelve99.net,1299
1683453472,13,140.204.196.21,???,31898
1683453472,14,*,*,*
1683453472,15,*,*,*
1683453472,16,*,*,*
1683453472,17,*,*,*
1683453472,18,*,*,*
1683453472,19,*,*,*
1683453472,20,*,*,*
1683453472,21,*,*,*
1683453472,22,*,*,*
1683453472,23,*,*,*
1683453472,24,*,*,*
1683453472,25,*,*,*
1683453472,26,*,*,*
1683453472,27,*,*,*
1683453472,28,*,*,*
1683453472,29,*,*,*
1683469841,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469841,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683469841,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683469841,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683469841,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469841,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683469841,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683469841,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683469841,9,*,*,*
1683469841,10,62.115.127.91,ffm-bb2-link.ip.twelve99.net,1299
1683469841,11,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683469841,12,62.115.123.221,mad-b3-link.ip.twelve99.net,1299
1683469841,13,140.204.196.21,???,31898
1683469841,14,*,*,*
1683469841,15,*,*,*
1683469841,16,*,*,*
1683469841,17,*,*,*
1683469841,18,*,*,*
1683469841,19,*,*,*
1683469841,20,*,*,*
1683469841,21,*,*,*
1683469841,22,*,*,*
1683469841,23,*,*,*
1683469841,24,*,*,*
1683469841,25,*,*,*
1683469841,26,*,*,*
1683469841,27,*,*,*
1683469841,28,*,*,*
1683469841,29,*,*,*
1683485098,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683485098,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683485098,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683485098,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683485098,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683485098,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683485098,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683485098,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683485098,9,*,*,*
1683485098,10,62.115.127.91,ffm-bb2-link.ip.twelve99.net,1299
1683485098,11,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683485098,12,62.115.123.221,mad-b3-link.ip.twelve99.net,1299
1683485098,13,140.204.196.21,???,31898
1683485098,14,*,*,*
1683485098,15,*,*,*
1683485098,16,*,*,*
1683485098,17,*,*,*
1683485098,18,*,*,*
1683485098,19,*,*,*
1683485098,20,*,*,*
1683485098,21,*,*,*
1683485098,22,*,*,*
1683485098,23,*,*,*
1683485098,24,*,*,*
1683485098,25,*,*,*
1683485098,26,*,*,*
1683485098,27,*,*,*
1683485098,28,*,*,*
1683485098,29,*,*,*
1683488109,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683488109,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683488109,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683488109,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683488109,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683488109,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683488109,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683488109,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683488109,9,*,*,*
1683488109,10,62.115.127.91,ffm-bb2-link.ip.twelve99.net,1299
1683488109,11,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683488109,12,*,*,*
1683488109,13,140.204.196.21,???,31898
1683488109,14,*,*,*
1683488109,15,*,*,*
1683488109,16,*,*,*
1683488109,17,*,*,*
1683488109,18,*,*,*
1683488109,19,*,*,*
1683488109,20,*,*,*
1683488109,21,*,*,*
1683488109,22,*,*,*
1683488109,23,*,*,*
1683488109,24,*,*,*
1683488109,25,*,*,*
1683488109,26,*,*,*
1683488109,27,*,*,*
1683488109,28,*,*,*
1683488109,29,*,*,*
1683490981,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683490981,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683490981,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683490981,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683490981,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683490981,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683490981,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683490981,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683490981,9,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683490981,10,62.115.127.91,ffm-bb2-link.ip.twelve99.net,1299
1683490981,11,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683490981,12,62.115.123.221,mad-b3-link.ip.twelve99.net,1299
1683490981,13,140.204.196.21,???,31898
1683490981,14,*,*,*
1683490981,15,*,*,*
1683490981,16,*,*,*
1683490981,17,*,*,*
1683490981,18,*,*,*
1683490981,19,*,*,*
1683490981,20,*,*,*
1683490981,21,*,*,*
1683490981,22,*,*,*
1683490981,23,*,*,*
1683490981,24,*,*,*
1683490981,25,*,*,*
1683490981,26,*,*,*
1683490981,27,*,*,*
1683490981,28,*,*,*
1683490981,29,*,*,*
1683493505,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683493505,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
