timestamp,ttl,ip,hostname,asn
1683451411,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683451411,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683451411,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683451411,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683451411,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683451411,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683451411,7,200.189.207.6,6.207.189.200.static.impsat.net.br,3549
1683451411,8,140.91.244.5,???,31898
1683451411,9,*,*,*
1683451411,10,*,*,*
1683451411,11,*,*,*
1683451411,12,*,*,*
1683451411,13,*,*,*
1683451411,14,*,*,*
1683451411,15,*,*,*
1683451411,16,*,*,*
1683451411,17,*,*,*
1683451411,18,*,*,*
1683451411,19,*,*,*
1683451411,20,*,*,*
1683451411,21,*,*,*
1683451411,22,*,*,*
1683451411,23,*,*,*
1683451411,24,*,*,*
1683451411,25,*,*,*
1683451411,26,*,*,*
1683451411,27,*,*,*
1683451411,28,*,*,*
1683451411,29,*,*,*
1683467808,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683467808,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683467808,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683467808,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683467808,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683467808,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683467808,7,94.142.107.220,???,12956
1683467808,8,213.140.36.95,???,12956
1683467808,9,94.142.118.239,???,12956
1683467808,10,94.142.99.229,???,12956
1683467808,11,5.53.3.164,???,12956
1683467808,12,140.91.244.3,???,31898
1683467808,13,*,*,*
1683467808,14,*,*,*
1683467808,15,*,*,*
1683467808,16,*,*,*
1683467808,17,*,*,*
1683467808,18,*,*,*
1683467808,19,*,*,*
1683467808,20,*,*,*
1683467808,21,*,*,*
1683467808,22,*,*,*
1683467808,23,*,*,*
1683467808,24,*,*,*
1683467808,25,*,*,*
1683467808,26,*,*,*
1683467808,27,*,*,*
1683467808,28,*,*,*
1683467808,29,*,*,*
1683482603,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683482603,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683482603,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683482603,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683482603,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683482603,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683482603,7,94.142.107.220,???,12956
1683482603,8,213.140.36.95,???,12956
1683482603,9,94.142.118.239,???,12956
1683482603,10,94.142.99.229,???,12956
