timestamp,ttl,ip,hostname,asn
1683450030,1,192.168.1.1,???,
1683450030,2,100.64.0.1,???,
1683450030,3,172.16.251.90,???,
1683450030,4,*,*,*
1683450030,5,206.224.65.186,undefined.hostname.localhost,14593
1683450030,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450030,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450030,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683450030,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683450030,10,*,*,*
1683450030,11,62.115.134.247,atl-b24-link.ip.twelve99.net,1299
1683450030,12,*,*,*
1683450030,13,62.115.125.55,phx-b6-link.ip.twelve99.net,1299
1683450030,14,140.91.194.46,???,31898
1683450030,15,*,*,*
1683450030,16,*,*,*
1683450030,17,*,*,*
1683450030,18,*,*,*
1683450030,19,*,*,*
1683450030,20,*,*,*
1683450030,21,*,*,*
1683450030,22,*,*,*
1683450030,23,*,*,*
1683450030,24,*,*,*
1683450030,25,*,*,*
1683450030,26,*,*,*
1683450030,27,*,*,*
1683450030,28,*,*,*
1683450030,29,*,*,*
1683467530,1,192.168.1.1,???,
1683467530,2,100.64.0.1,???,
1683467530,3,172.16.251.90,???,
1683467530,4,*,*,*
1683467530,5,206.224.65.188,undefined.hostname.localhost,14593
1683467530,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683467530,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683467530,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683467530,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683467530,10,*,*,*
1683467530,11,*,*,*
1683467530,12,*,*,*
1683467530,13,62.115.136.119,dls-b23-link.ip.twelve99.net,1299
1683467530,14,62.115.138.64,dls-bb2-link.ip.twelve99.net,1299
1683467530,15,62.115.125.55,phx-b6-link.ip.twelve99.net,1299
1683467530,16,140.91.194.239,???,31898
1683467530,17,*,*,*
1683467530,18,*,*,*
1683467530,19,*,*,*
1683467530,20,*,*,*
1683467530,21,*,*,*
1683467530,22,*,*,*
1683467530,23,*,*,*
1683467530,24,*,*,*
1683467530,25,*,*,*
1683467530,26,*,*,*
1683467530,27,*,*,*
1683467530,28,*,*,*
1683467530,29,*,*,*
1683482179,1,192.168.1.1,???,
1683482179,2,100.64.0.1,???,
1683482179,3,172.16.251.90,???,
1683482179,4,*,*,*
1683482179,5,206.224.65.180,undefined.hostname.localhost,14593
1683482179,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
