timestamp,ttl,ip,hostname,asn
1683453141,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683453141,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683453141,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683453141,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683453141,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683453141,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683453141,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683453141,8,*,*,*
1683453141,9,*,*,*
1683453141,10,*,*,*
1683453141,11,*,*,*
1683453141,12,*,*,*
1683453141,13,*,*,*
1683453141,14,*,*,*
1683453141,15,*,*,*
1683453141,16,*,*,*
1683453141,17,*,*,*
1683453141,18,*,*,*
1683453141,19,*,*,*
1683453141,20,*,*,*
1683453141,21,*,*,*
1683453141,22,*,*,*
1683453141,23,*,*,*
1683453141,24,*,*,*
1683453141,25,*,*,*
1683453141,26,*,*,*
1683453141,27,*,*,*
1683453141,28,*,*,*
1683453141,29,*,*,*
1683469524,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469524,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683469524,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683469524,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469524,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683469524,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683469524,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683469524,8,*,*,*
1683469524,9,*,*,*
1683469524,10,*,*,*
1683469524,11,*,*,*
1683469524,12,*,*,*
1683469524,13,*,*,*
1683469524,14,*,*,*
1683469524,15,*,*,*
1683469524,16,*,*,*
1683469524,17,*,*,*
1683469524,18,*,*,*
1683469524,19,*,*,*
1683469524,20,*,*,*
1683469524,21,*,*,*
1683469524,22,*,*,*
1683469524,23,*,*,*
1683469524,24,*,*,*
1683469524,25,*,*,*
1683469524,26,*,*,*
1683469524,27,*,*,*
1683469524,28,*,*,*
1683469524,29,*,*,*
1683484698,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683484698,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683484698,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683484698,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683484698,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683484698,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683484698,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683484698,8,*,*,*
1683484698,9,*,*,*
1683484698,10,*,*,*
1683484698,11,*,*,*
1683484698,12,*,*,*
1683484698,13,*,*,*
1683484698,14,*,*,*
1683484698,15,*,*,*
1683484698,16,*,*,*
1683484698,17,*,*,*
1683484698,18,*,*,*
1683484698,19,*,*,*
1683484698,20,*,*,*
1683484698,21,*,*,*
1683484698,22,*,*,*
1683484698,23,*,*,*
1683484698,24,*,*,*
1683484698,25,*,*,*
1683484698,26,*,*,*
1683484698,27,*,*,*
1683484698,28,*,*,*
1683484698,29,*,*,*
1683487723,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683487723,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683487723,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683487723,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683487723,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683487723,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683487723,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683487723,8,*,*,*
1683487723,9,*,*,*
1683487723,10,*,*,*
1683487723,11,*,*,*
1683487723,12,*,*,*
1683487723,13,*,*,*
1683487723,14,*,*,*
1683487723,15,*,*,*
1683487723,16,*,*,*
1683487723,17,*,*,*
1683487723,18,*,*,*
1683487723,19,*,*,*
1683487723,20,*,*,*
1683487723,21,*,*,*
1683487723,22,*,*,*
1683487723,23,*,*,*
1683487723,24,*,*,*
1683487723,25,*,*,*
1683487723,26,*,*,*
1683487723,27,*,*,*
1683487723,28,*,*,*
1683487723,29,*,*,*
1683490655,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683490655,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683490655,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683490655,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683490655,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683490655,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683490655,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683490655,8,*,*,*
1683490655,9,*,*,*
1683490655,10,*,*,*
1683490655,11,*,*,*
1683490655,12,*,*,*
1683490655,13,*,*,*
1683490655,14,*,*,*
1683490655,15,*,*,*
1683490655,16,*,*,*
1683490655,17,*,*,*
1683490655,18,*,*,*
1683490655,19,*,*,*
1683490655,20,*,*,*
1683490655,21,*,*,*
1683490655,22,*,*,*
1683490655,23,*,*,*
1683490655,24,*,*,*
1683490655,25,*,*,*
1683490655,26,*,*,*
1683490655,27,*,*,*
1683490655,28,*,*,*
1683490655,29,*,*,*
1683493199,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683493199,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683493199,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683493199,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683493199,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683493199,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683493199,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683493199,8,*,*,*
1683493199,9,*,*,*
1683493199,10,*,*,*
1683493199,11,*,*,*
1683493199,12,*,*,*
1683493199,13,*,*,*
1683493199,14,*,*,*
1683493199,15,*,*,*
1683493199,16,*,*,*
1683493199,17,*,*,*
1683493199,18,*,*,*
1683493199,19,*,*,*
1683493199,20,*,*,*
1683493199,21,*,*,*
1683493199,22,*,*,*
1683493199,23,*,*,*
1683493199,24,*,*,*
1683493199,25,*,*,*
1683493199,26,*,*,*
1683493199,27,*,*,*
1683493199,28,*,*,*
1683493199,29,*,*,*
1683495469,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683495469,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683495469,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683495469,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683495469,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683495469,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683495469,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683495469,8,*,*,*
1683495469,9,*,*,*
1683495469,10,*,*,*
1683495469,11,*,*,*
1683495469,12,*,*,*
1683495469,13,*,*,*
1683495469,14,*,*,*
1683495469,15,*,*,*
1683495469,16,*,*,*
1683495469,17,*,*,*
1683495469,18,*,*,*
1683495469,19,*,*,*
1683495469,20,*,*,*
1683495469,21,*,*,*
1683495469,22,*,*,*
1683495469,23,*,*,*
1683495469,24,*,*,*
1683495469,25,*,*,*
1683495469,26,*,*,*
1683495469,27,*,*,*
1683495469,28,*,*,*
1683495469,29,*,*,*
1683497720,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683497720,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683497720,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683497720,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683497720,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683497720,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683497720,7,4.69.162.177,ae1.3104.edge7.Amsterdam1.level3.net,3356
1683497720,8,*,*,*
1683497720,9,*,*,*
1683497720,10,*,*,*
1683497720,11,*,*,*
1683497720,12,*,*,*
1683497720,13,*,*,*
1683497720,14,*,*,*
1683497720,15,*,*,*
1683497720,16,*,*,*
1683497720,17,*,*,*
1683497720,18,*,*,*
