timestamp  ,ttl ,ip             ,hostname                      ,asn
1683449982 ,  1 ,192.168.1.1    ,???                           ,
1683449982 ,  2 ,100.64.0.1     ,???                           ,
1683449982 ,  3 ,172.16.251.90  ,???                           ,
1683449982 ,  4 ,206.224.65.208 ,undefined.hostname.localhost  ,14593
1683449982 ,  5 ,206.224.65.192 ,undefined.hostname.localhost  ,14593
1683449982 ,  6 ,62.115.114.90  ,ffm-bb2-link.ip.twelve99.net  ,1299
1683449982 ,  7 ,62.115.114.90  ,ffm-bb2-link.ip.twelve99.net  ,1299
1683449982 ,  8 ,62.115.122.138 ,prs-bb2-link.ip.twelve99.net  ,1299
1683449982 ,  9 ,62.115.122.159 ,rest-bb1-link.ip.twelve99.net ,1299
1683449982 , 10 ,*              ,*                             ,*
1683449982 , 11 ,*              ,*                             ,*
1683449982 , 12 ,62.115.137.45  ,dls-bb1-link.ip.twelve99.net  ,1299
1683449982 , 13 ,62.115.136.119 ,dls-b23-link.ip.twelve99.net  ,1299
1683449982 , 14 ,*              ,*                             ,*
1683449982 , 15 ,62.115.125.55  ,phx-b6-link.ip.twelve99.net   ,1299
1683449982 , 16 ,140.91.194.5   ,???                           ,31898
1683449982 , 17 ,*              ,*                             ,*
1683449982 , 18 ,*              ,*                             ,*
1683449982 , 19 ,*              ,*                             ,*
1683449982 , 20 ,*              ,*                             ,*
1683449982 , 21 ,*              ,*                             ,*
1683449982 , 22 ,*              ,*                             ,*
1683449982 , 23 ,*              ,*                             ,*
1683449982 , 24 ,*              ,*                             ,*
1683449982 , 25 ,*              ,*                             ,*
1683449982 , 26 ,*              ,*                             ,*
1683449982 , 27 ,*              ,*                             ,*
1683449982 , 28 ,*              ,*                             ,*
1683449982 , 29 ,*              ,*                             ,*
1683451077 ,  1 ,192.168.1.1    ,???                           ,
1683451077 ,  2 ,100.64.0.1     ,???                           ,
1683451077 ,  3 ,172.16.251.90  ,???                           ,
1683451077 ,  4 ,206.224.65.208 ,undefined.hostname.localhost  ,14593
1683451077 ,  5 ,206.224.65.192 ,undefined.hostname.localhost  ,14593
1683451077 ,  6 ,62.115.114.90  ,ffm-bb2-link.ip.twelve99.net  ,1299
1683451077 ,  7 ,62.115.114.90  ,ffm-bb2-link.ip.twelve99.net  ,1299
1683451077 ,  8 ,62.115.122.138 ,prs-bb2-link.ip.twelve99.net  ,1299
1683451077 ,  9 ,62.115.122.159 ,rest-bb1-link.ip.twelve99.net ,1299
1683451077 , 10 ,*              ,*                             ,*
1683451077 , 11 ,*              ,*                             ,*
1683451077 , 12 ,*              ,*                             ,*
1683451077 , 13 ,62.115.136.119 ,dls-b23-link.ip.twelve99.net  ,1299
1683451077 , 14 ,*              ,*                             ,*
1683451077 , 15 ,62.115.125.55  ,phx-b6-link.ip.twelve99.net   ,1299
1683451077 , 16 ,140.91.194.5   ,???                           ,31898
1683451077 , 17 ,*              ,*                             ,*
1683451077 , 18 ,*              ,*                             ,*
1683451077 , 19 ,*              ,*                             ,*
1683451077 , 20 ,*              ,*                             ,*
1683451077 , 21 ,*              ,*                             ,*
1683451077 , 22 ,*              ,*                             ,*
1683451077 , 23 ,*              ,*                             ,*
1683451077 , 24 ,*              ,*                             ,*
1683451077 , 25 ,*              ,*                             ,*
1683451077 , 26 ,*              ,*                             ,*
1683451077 , 27 ,*              ,*                             ,*
1683451077 , 28 ,*              ,*                             ,*
1683451077 , 29 ,*              ,*                             ,*
1683467481 ,  1 ,192.168.1.1    ,???                           ,
1683467481 ,  2 ,100.64.0.1     ,???                           ,
1683467481 ,  3 ,172.16.251.90  ,???                           ,
1683467481 ,  4 ,206.224.65.208 ,undefined.hostname.localhost  ,14593
1683467481 ,  5 ,206.224.65.192 ,undefined.hostname.localhost  ,14593
1683467481 ,  6 ,62.115.114.90  ,ffm-bb2-link.ip.twelve99.net  ,1299
1683467481 ,  7 ,62.115.114.90  ,ffm-bb2-link.ip.twelve99.net  ,1299
1683467481 ,  8 ,62.115.122.138 ,prs-bb2-link.ip.twelve99.net  ,1299
1683467481 ,  9 ,62.115.122.159 ,rest-bb1-link.ip.twelve99.net ,1299
1683467481 , 10 ,62.115.138.71  ,atl-bb1-link.ip.twelve99.net  ,1299
1683467481 , 11 ,*              ,*                             ,*
1683467481 , 12 ,62.115.137.45  ,dls-bb1-link.ip.twelve99.net  ,1299
1683467481 , 13 ,62.115.136.119 ,dls-b23-link.ip.twelve99.net  ,1299
1683467481 , 14 ,*              ,*                             ,*
1683467481 , 15 ,62.115.125.55  ,phx-b6-link.ip.twelve99.net   ,1299
1683467481 , 16 ,140.91.194.5   ,???                           ,31898
1683467481 , 17 ,*              ,*                             ,*
1683467481 , 18 ,*              ,*                             ,*
1683467481 , 19 ,*              ,*                             ,*
1683467481 , 20 ,*              ,*                             ,*
1683467481 , 21 ,*              ,*                             ,*
1683467481 , 22 ,*              ,*                             ,*
1683467481 , 23 ,*              ,*                             ,*
1683467481 , 24 ,*              ,*                             ,*
1683467481 , 25 ,*              ,*                             ,*
1683467481 , 26 ,*              ,*                             ,*
1683467481 , 27 ,*              ,*                             ,*
1683467481 , 28 ,*              ,*                             ,*
1683467481 , 29 ,*              ,*                             ,*
1683482130,1,192.168.1.1,???,
1683482130,2,100.64.0.1,???,
1683482130,3,172.16.251.90,???,
1683482130,4,206.224.65.208,undefined.hostname.localhost,14593
1683482130,5,206.224.65.192,undefined.hostname.localhost,14593
1683482130,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683482130,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683482130,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683482130,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683482130,10,*,*,*
1683482130,11,*,*,*
1683482130,12,62.115.137.45,dls-bb1-link.ip.twelve99.net,1299
1683482130,13,62.115.136.119,dls-b23-link.ip.twelve99.net,1299
1683482130,14,*,*,*
1683482130,15,62.115.125.55,phx-b6-link.ip.twelve99.net,1299
1683482130,16,140.91.194.5,???,31898
1683482130,17,*,*,*
1683482130,18,*,*,*
1683482130,19,*,*,*
1683482130,20,*,*,*
1683482130,21,*,*,*
1683482130,22,*,*,*
1683482130,23,*,*,*
1683482130,24,*,*,*
1683482130,25,*,*,*
1683482130,26,*,*,*
1683482130,27,*,*,*
1683482130,28,*,*,*
1683482130,29,*,*,*
1683485454,1,192.168.1.1,???,
1683485454,2,100.64.0.1,???,
1683485454,3,172.16.251.90,???,
1683485454,4,206.224.65.208,undefined.hostname.localhost,14593
1683485454,5,206.224.65.192,undefined.hostname.localhost,14593
1683485454,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683485454,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683485454,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683485454,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683485454,10,*,*,*
1683485454,11,*,*,*
1683485454,12,62.115.137.45,dls-bb1-link.ip.twelve99.net,1299
1683485454,13,62.115.136.119,dls-b23-link.ip.twelve99.net,1299
1683485454,14,*,*,*
1683485454,15,62.115.125.55,phx-b6-link.ip.twelve99.net,1299
1683485454,16,140.91.194.5,???,31898
1683485454,17,*,*,*
1683485454,18,*,*,*
1683485454,19,*,*,*
1683485454,20,*,*,*
1683485454,21,*,*,*
1683485454,22,*,*,*
1683485454,23,*,*,*
1683485454,24,*,*,*
1683485454,25,*,*,*
1683485454,26,*,*,*
1683485454,27,*,*,*
1683485454,28,*,*,*
1683485454,29,*,*,*
1683488533,1,192.168.1.1,???,
1683488533,2,100.64.0.1,???,
1683488533,3,172.16.251.90,???,
1683488533,4,206.224.65.208,undefined.hostname.localhost,14593
1683488533,5,206.224.65.192,undefined.hostname.localhost,14593
1683488533,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683488533,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683488533,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683488533,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683488533,10,*,*,*
1683488533,11,*,*,*
1683488533,12,*,*,*
1683488533,13,62.115.136.119,dls-b23-link.ip.twelve99.net,1299
1683488533,14,*,*,*
