timestamp,ttl,ip,hostname,asn
1683450130,1,192.168.1.1,???,
1683450130,2,100.64.0.1,???,
1683450130,3,*,*,*
1683450130,4,206.224.65.208,undefined.hostname.localhost,14593
1683450130,5,206.224.65.192,undefined.hostname.localhost,14593
1683450130,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450130,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450130,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683450130,9,*,*,*
1683450130,10,62.115.141.247,ldn-b11-link.ip.twelve99.net,1299
1683450130,11,140.91.200.24,???,31898
1683450130,12,*,*,*
1683450130,13,*,*,*
1683450130,14,*,*,*
1683450130,15,*,*,*
1683450130,16,*,*,*
1683450130,17,*,*,*
1683450130,18,*,*,*
1683450130,19,*,*,*
1683450130,20,*,*,*
1683450130,21,*,*,*
1683450130,22,*,*,*
1683450130,23,*,*,*
1683450130,24,*,*,*
1683450130,25,*,*,*
1683450130,26,*,*,*
1683450130,27,*,*,*
1683450130,28,*,*,*
1683450130,29,*,*,*
1683467635,1,192.168.1.1,???,
1683467635,2,100.64.0.1,???,
1683467635,3,172.16.251.90,???,
1683467635,4,206.224.65.208,undefined.hostname.localhost,14593
1683467635,5,206.224.65.192,undefined.hostname.localhost,14593
1683467635,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683467635,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683467635,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683467635,9,*,*,*
1683467635,10,62.115.141.247,ldn-b11-link.ip.twelve99.net,1299
1683467635,11,140.91.200.24,???,31898
1683467635,12,*,*,*
1683467635,13,*,*,*
1683467635,14,*,*,*
1683467635,15,*,*,*
1683467635,16,*,*,*
1683467635,17,*,*,*
1683467635,18,*,*,*
1683467635,19,*,*,*
1683467635,20,*,*,*
1683467635,21,*,*,*
1683467635,22,*,*,*
1683467635,23,*,*,*
1683467635,24,*,*,*
1683467635,25,*,*,*
1683467635,26,*,*,*
1683467635,27,*,*,*
1683467635,28,*,*,*
1683467635,29,*,*,*
1683482296,1,192.168.1.1,???,
1683482296,2,100.64.0.1,???,
1683482296,3,172.16.251.90,???,
1683482296,4,206.224.65.208,undefined.hostname.localhost,14593
1683482296,5,206.224.65.192,undefined.hostname.localhost,14593
1683482296,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683482296,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
