timestamp,ttl,ip,hostname,asn
1683453349,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683453349,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683453349,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683453349,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683453349,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683453349,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683453349,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683453349,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683453349,9,62.115.120.70,hbg-bb3-link.ip.twelve99.net,1299
1683453349,10,62.115.123.76,ffm-bb1-link.ip.twelve99.net,1299
1683453349,11,62.115.123.13,prs-bb1-link.ip.twelve99.net,1299
1683453349,12,62.115.118.59,prs-b3-link.ip.twelve99.net,1299
1683453349,13,*,*,*
1683453349,14,*,*,*
1683453349,15,*,*,*
1683453349,16,*,*,*
1683453349,17,*,*,*
1683453349,18,*,*,*
1683453349,19,*,*,*
1683453349,20,*,*,*
1683453349,21,*,*,*
1683453349,22,*,*,*
1683453349,23,*,*,*
1683453349,24,*,*,*
1683453349,25,*,*,*
1683453349,26,*,*,*
1683453349,27,*,*,*
1683453349,28,*,*,*
1683453349,29,*,*,*
1683469722,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469722,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683469722,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683469722,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683469722,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469722,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683469722,7,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683469722,8,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683469722,9,62.115.120.70,hbg-bb3-link.ip.twelve99.net,1299
1683469722,10,62.115.123.76,ffm-bb1-link.ip.twelve99.net,1299
1683469722,11,62.115.123.13,prs-bb1-link.ip.twelve99.net,1299
1683469722,12,62.115.118.59,prs-b3-link.ip.twelve99.net,1299
1683469722,13,*,*,*
1683469722,14,*,*,*
1683469722,15,*,*,*
1683469722,16,*,*,*
1683469722,17,*,*,*
1683469722,18,*,*,*
1683469722,19,*,*,*
1683469722,20,*,*,*
1683469722,21,*,*,*
1683469722,22,*,*,*
1683469722,23,*,*,*
1683469722,24,*,*,*
1683469722,25,*,*,*
1683469722,26,*,*,*
1683469722,27,*,*,*
1683469722,28,*,*,*
