timestamp,ttl,ip,hostname,asn
1683451861,1,192.168.1.1,???,
1683451861,2,100.64.0.1,???,
1683451861,3,172.16.251.90,???,
1683451861,4,*,*,*
1683451861,5,206.224.65.186,undefined.hostname.localhost,14593
1683451861,6,213.144.184.30,???,6762
1683451861,7,129.250.66.17,ae-9.r00.frnkge13.de.bb.gin.ntt.net,2914
1683451861,8,129.250.6.41,ae-2.r21.frnkge13.de.bb.gin.ntt.net,2914
1683451861,9,129.250.5.27,ae-12.r21.parsfr04.fr.bb.gin.ntt.net,2914
1683451861,10,129.250.6.6,ae-13.r24.asbnva02.us.bb.gin.ntt.net,2914
1683451861,11,129.250.6.237,ae-2.r24.snjsca04.us.bb.gin.ntt.net,2914
1683451861,12,129.250.2.119,ae-5.r26.osakjp02.jp.bb.gin.ntt.net,2914
1683451861,13,129.250.2.40,ae-1.r02.osakjp02.jp.bb.gin.ntt.net,2914
1683451861,14,140.91.218.10,???,31898
1683451861,15,*,*,*
1683451861,16,*,*,*
1683451861,17,*,*,*
1683451861,18,*,*,*
1683451861,19,*,*,*
1683451861,20,*,*,*
1683451861,21,*,*,*
1683451861,22,*,*,*
1683451861,23,*,*,*
1683451861,24,*,*,*
1683451861,25,*,*,*
1683451861,26,*,*,*
1683451861,27,*,*,*
1683451861,28,*,*,*
1683451861,29,*,*,*
1683469473,1,192.168.1.1,???,
1683469473,2,100.64.0.1,???,
1683469473,3,172.16.251.90,???,
1683469473,4,*,*,*
1683469473,5,206.224.65.188,undefined.hostname.localhost,14593
1683469473,6,213.144.184.30,???,6762
1683469473,7,129.250.66.17,ae-9.r00.frnkge13.de.bb.gin.ntt.net,2914
1683469473,8,129.250.6.41,ae-2.r21.frnkge13.de.bb.gin.ntt.net,2914
1683469473,9,*,*,*
1683469473,10,129.250.3.47,ae-0.r20.parsfr04.fr.bb.gin.ntt.net,2914
1683469473,11,129.250.4.194,ae-14.r21.nwrknj03.us.bb.gin.ntt.net,2914
1683469473,12,129.250.6.16,ae-0.r20.nwrknj03.us.bb.gin.ntt.net,2914
1683469473,13,129.250.6.177,ae-4.r24.sttlwa01.us.bb.gin.ntt.net,2914
1683469473,14,129.250.3.83,ae-0.r25.sttlwa01.us.bb.gin.ntt.net,2914
1683469473,15,129.250.3.61,ae-6.r26.osakjp02.jp.bb.gin.ntt.net,2914
1683469473,16,129.250.2.40,ae-1.r02.osakjp02.jp.bb.gin.ntt.net,2914
1683469473,17,140.91.218.17,???,31898
1683469473,18,*,*,*
1683469473,19,*,*,*
1683469473,20,*,*,*
1683469473,21,*,*,*
1683469473,22,*,*,*
1683469473,23,*,*,*
1683469473,24,*,*,*
1683469473,25,*,*,*
1683469473,26,*,*,*
1683469473,27,*,*,*
1683469473,28,*,*,*
1683469473,29,*,*,*
1683484567,1,192.168.1.1,???,
1683484567,2,100.64.0.1,???,
1683484567,3,172.16.251.90,???,
1683484567,4,*,*,*
1683484567,5,206.224.65.180,undefined.hostname.localhost,14593
1683484567,6,213.144.184.26,???,6762
1683484567,7,129.250.66.17,ae-9.r00.frnkge13.de.bb.gin.ntt.net,2914
1683484567,8,129.250.6.41,ae-2.r21.frnkge13.de.bb.gin.ntt.net,2914
1683484567,9,*,*,*
1683484567,10,*,*,*
1683484567,11,*,*,*
1683484567,12,129.250.2.119,ae-5.r26.osakjp02.jp.bb.gin.ntt.net,2914
1683484567,13,129.250.2.40,ae-1.r02.osakjp02.jp.bb.gin.ntt.net,2914
1683484567,14,140.91.218.23,???,31898
1683484567,15,*,*,*
1683484567,16,*,*,*
1683484567,17,*,*,*
1683484567,18,*,*,*
1683484567,19,*,*,*
1683484567,20,*,*,*
1683484567,21,*,*,*
1683484567,22,*,*,*
1683484567,23,*,*,*
1683484567,24,*,*,*
