timestamp,hop,ip,hostname,asn,rtt
1684847333,1,131.159.14.129,ac.scylla.net.in.tum.de,209335,0.46181678771972656
1684847333,2,131.159.252.148,nz-bb2-net.in.tum.de,209335,0.7348060607910156
1684847333,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,1.3239383697509766
1684847333,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,1.936197280883789
1684847333,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680,5.873441696166992
1684847333,6,80.81.192.61,Te0-0-0-0-pr1.FRA.router.colt.net,,9.152412414550781
1684847333,7,*,*,*,*
1684847333,8,*,*,*,*
1684847333,9,140.91.238.11,???,31898,27.305126190185547
1684847333,10,*,*,*,*
1684847333,11,*,*,*,*
1684847333,12,*,*,*,*
1684847333,13,*,*,*,*
1684847333,14,*,*,*,*
1684847333,15,*,*,*,*
1684847333,16,*,*,*,*
1684847333,17,*,*,*,*
1684847333,18,*,*,*,*
1684847333,19,*,*,*,*
1684847333,20,*,*,*,*
1684847333,21,*,*,*,*
1684847333,22,*,*,*,*
1684847333,23,*,*,*,*
1684847333,24,*,*,*,*
1684847333,25,*,*,*,*
1684847333,26,*,*,*,*
1684847333,27,*,*,*,*
1684847333,28,*,*,*,*
1684847333,29,*,*,*,*
