timestamp,ttl,ip,hostname,asn
1683401822,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683401822,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683401822,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683401822,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683401822,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683401822,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683401822,7,209.85.172.242,???,15169
1683401822,8,*,*,*
1683401822,9,*,*,*
1683401822,10,*,*,*
1683401822,11,*,*,*
1683401822,12,*,*,*
1683401822,13,*,*,*
1683401822,14,*,*,*
1683401822,15,*,*,*
1683401822,16,*,*,*
1683401822,17,*,*,*
1683401822,18,*,*,*
1683401822,19,*,*,*
1683401822,20,*,*,*
1683401822,21,*,*,*
1683401822,22,*,*,*
1683401822,23,*,*,*
1683401822,24,*,*,*
1683401822,25,*,*,*
1683401822,26,*,*,*
1683401822,27,*,*,*
1683401822,28,*,*,*
1683401822,29,*,*,*
