timestamp,ttl,ip,hostname,asn
1683969612,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683969612,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683969612,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683969612,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683969612,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683969612,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683969612,7,4.69.134.42,???,3356
1683969612,8,113.29.48.90,???,3549
1683969612,9,140.91.214.10,???,31898
1683969612,10,*,*,*
1683969612,11,*,*,*
1683969612,12,*,*,*
1683969612,13,*,*,*
1683969612,14,*,*,*
1683969612,15,*,*,*
1683969612,16,*,*,*
1683969612,17,*,*,*
1683969612,18,*,*,*
1683969612,19,*,*,*
1683969612,20,*,*,*
1683969612,21,*,*,*
1683969612,22,*,*,*
1683969612,23,*,*,*
1683969612,24,*,*,*
1683969612,25,*,*,*
1683969612,26,*,*,*
1683969612,27,*,*,*
1683969612,28,*,*,*
1683969612,29,*,*,*
