timestamp,ttl,ip,hostname,asn
1684096095,1,192.168.1.1,???,
1684096095,2,100.64.0.1,???,
1684096095,3,172.16.251.90,???,
1684096095,4,206.224.65.196,undefined.hostname.localhost,14593
1684096095,5,206.224.65.178,undefined.hostname.localhost,14593
1684096095,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1684096095,7,62.115.124.116,ffm-bb1-link.ip.twelve99.net,1299
1684096095,8,62.115.120.240,adm-bb1-link.ip.twelve99.net,1299
1684096095,9,62.115.120.227,adm-b10-link.ip.twelve99.net,1299
1684096095,10,140.91.222.42,???,31898
1684096095,11,*,*,*
1684096095,12,*,*,*
1684096095,13,*,*,*
1684096095,14,*,*,*
1684096095,15,*,*,*
1684096095,16,*,*,*
1684096095,17,*,*,*
1684096095,18,*,*,*
1684096095,19,*,*,*
1684096095,20,*,*,*
1684096095,21,*,*,*
1684096095,22,*,*,*
1684096095,23,*,*,*
1684096095,24,*,*,*
1684096095,25,*,*,*
1684096095,26,*,*,*
1684096095,27,*,*,*
1684096095,28,*,*,*
1684096095,29,*,*,*
