timestamp,ttl,ip,hostname,asn
1684035821,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684035821,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684035821,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684035821,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684035821,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684035821,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1684035821,7,4.69.219.218,ae2.3601.edge2.Phoenix1.level3.net,3356
1684035821,8,140.91.195.78,???,31898
1684035821,9,*,*,*
1684035821,10,*,*,*
1684035821,11,*,*,*
1684035821,12,*,*,*
1684035821,13,*,*,*
1684035821,14,*,*,*
1684035821,15,*,*,*
1684035821,16,*,*,*
1684035821,17,*,*,*
1684035821,18,*,*,*
1684035821,19,*,*,*
1684035821,20,*,*,*
1684035821,21,*,*,*
1684035821,22,*,*,*
1684035821,23,*,*,*
1684035821,24,*,*,*
1684035821,25,*,*,*
1684035821,26,*,*,*
1684035821,27,*,*,*
1684035821,28,*,*,*
1684035821,29,*,*,*
