timestamp,hop,ip,hostname,asn,rtt
1684848165,1,131.159.14.129,ac.scylla.net.in.tum.de,209335,0.39577484130859375
1684848165,2,131.159.252.148,nz-bb2-net.in.tum.de,209335,0.7965564727783203
1684848165,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,0.8544921875
1684848165,4,*,*,*,*
1684848165,5,*,*,*,*
1684848165,6,*,*,*,*
1684848165,7,*,*,*,*
1684848165,8,*,*,*,*
1684848165,9,*,*,*,*
1684848165,10,*,*,*,*
1684848165,11,*,*,*,*
1684848165,12,*,*,*,*
1684848165,13,*,*,*,*
1684848165,14,*,*,*,*
1684848165,15,*,*,*,*
1684848165,16,*,*,*,*
1684848165,17,*,*,*,*
1684848165,18,*,*,*,*
1684848165,19,*,*,*,*
1684848165,20,*,*,*,*
1684848165,21,*,*,*,*
1684848165,22,*,*,*,*
1684848165,23,*,*,*,*
1684848165,24,*,*,*,*
1684848165,25,*,*,*,*
1684848165,26,*,*,*,*
1684848165,27,*,*,*,*
1684848165,28,*,*,*,*
1684848165,29,*,*,*,*
