timestamp,hop,ip,hostname,asn,rtt
1684849954,1,131.159.14.129,ac.scylla.net.in.tum.de,209335,0.2338886260986328
1684849954,2,131.159.252.148,nz-bb2-net.in.tum.de,209335,0.5788803100585938
1684849954,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,2.110004425048828
1684849954,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,2.1147727966308594
1684849954,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,9.740591049194336
1684849954,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356,10.215282440185547
1684849954,7,*,*,*,*
1684849954,8,*,*,*,*
1684849954,9,154.54.37.29,be2846.ccr42.fra03.atlas.cogentco.com,174,20.5078125
1684849954,10,154.54.58.238,be2800.ccr42.par01.atlas.cogentco.com,174,29.31976318359375
1684849954,11,154.54.72.226,be2780.ccr32.mrs02.atlas.cogentco.com,174,37.85133361816406
1684849954,12,154.54.6.26,be2900.ccr21.hkg02.atlas.cogentco.com,174,220.69668769836426
1684849954,13,154.18.5.98,amazon.demarc.cogentco.com,174,220.16167640686035
1684849954,14,*,*,*,*
1684849954,15,52.93.35.93,???,,221.6639518737793
1684849954,16,*,*,*,*
1684849954,17,54.239.122.78,???,16509,255.7694911956787
1684849954,18,*,*,*,*
1684849954,19,*,*,*,*
1684849954,20,54.239.122.219,???,16509,254.35996055603027
1684849954,21,*,*,*,*
1684849954,22,*,*,*,*
1684849954,23,*,*,*,*
1684849954,24,*,*,*,*
1684849954,25,*,*,*,*
1684849954,26,*,*,*,*
1684849954,27,*,*,*,*
1684849954,28,*,*,*,*
1684849954,29,*,*,*,*
