timestamp,hop,ip,hostname,asn,rtt
1684847045,1,131.159.14.129,ac.scylla.net.in.tum.de,209335,1.2955665588378906
1684847045,2,131.159.252.148,nz-bb2-net.in.tum.de,209335,0.7939338684082031
1684847045,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,1.1794567108154297
1684847045,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,1.4753341674804688
1684847045,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,10.518312454223633
1684847045,6,99.83.68.142,???,,20.744800567626953
1684847045,7,*,*,*,*
1684847045,8,*,*,*,*
1684847045,9,*,*,*,*
1684847045,10,*,*,*,*
1684847045,11,*,*,*,*
1684847045,12,*,*,*,*
1684847045,13,52.95.67.124,???,16509,138.0763053894043
1684847045,14,52.95.64.218,???,16509,136.86537742614746
1684847045,15,52.95.64.209,???,16509,155.07149696350098
1684847045,16,*,*,*,*
1684847045,17,*,*,*,*
1684847045,18,*,*,*,*
1684847045,19,*,*,*,*
1684847045,20,*,*,*,*
1684847045,21,*,*,*,*
1684847045,22,*,*,*,*
1684847045,23,*,*,*,*
1684847045,24,3.108.0.0,ec2-3-108-0-0.ap-south-1.compute.amazonaws.com,16509,137.4835968017578
