timestamp,ttl,ip,hostname,asn
1684104261,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684104261,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684104261,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684104261,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684104261,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684104261,6,99.83.68.142,???,
1684104261,7,*,*,*
1684104261,8,*,*,*
1684104261,9,*,*,*
1684104261,10,*,*,*
1684104261,11,*,*,*
1684104261,12,*,*,*
1684104261,13,52.95.67.74,???,16509
1684104261,14,52.95.64.246,???,16509
1684104261,15,52.95.64.249,???,16509
1684104261,16,*,*,*
1684104261,17,*,*,*
1684104261,18,*,*,*
1684104261,19,*,*,*
1684104261,20,*,*,*
1684104261,21,*,*,*
1684104261,22,*,*,*
1684104261,23,*,*,*
1684104261,24,3.108.0.0,ec2-3-108-0-0.ap-south-1.compute.amazonaws.com,16509
