timestamp,ttl,ip,hostname,asn
1684038017,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684038017,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684038017,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684038017,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684038017,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684038017,6,99.83.68.142,???,
1684038017,7,*,*,*
1684038017,8,*,*,*
1684038017,9,*,*,*
1684038017,10,*,*,*
1684038017,11,*,*,*
1684038017,12,*,*,*
1684038017,13,*,*,*
1684038017,14,*,*,*
1684038017,15,*,*,*
1684038017,16,*,*,*
1684038017,17,*,*,*
1684038017,18,*,*,*
1684038017,19,*,*,*
1684038017,20,*,*,*
1684038017,21,*,*,*
1684038017,22,*,*,*
1684038017,23,*,*,*
1684038017,24,*,*,*
1684038017,25,*,*,*
1684038017,26,*,*,*
1684038017,27,*,*,*
1684038017,28,*,*,*
1684038017,29,*,*,*
