timestamp,ttl,ip,hostname,asn
1683986301,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683986301,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683986301,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683986301,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683986301,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683986301,6,99.83.68.142,???,
1683986301,7,*,*,*
1683986301,8,*,*,*
1683986301,9,*,*,*
1683986301,10,*,*,*
1683986301,11,*,*,*
1683986301,12,*,*,*
1683986301,13,*,*,*
1683986301,14,*,*,*
1683986301,15,*,*,*
1683986301,16,*,*,*
1683986301,17,*,*,*
1683986301,18,*,*,*
1683986301,19,*,*,*
1683986301,20,*,*,*
1683986301,21,*,*,*
1683986301,22,*,*,*
1683986301,23,*,*,*
1683986301,24,*,*,*
1683986301,25,*,*,*
1683986301,26,*,*,*
1683986301,27,*,*,*
1683986301,28,*,*,*
1683986301,29,*,*,*
